t,V10,V47k,V94k,V220k,V672k
-0.000025,0.0004,0.0032,0.0016,-0.0012,-0.004
-0.00002498,-0.0032,0.0072,0.0064,-0.0044,-0.0036
-0.00002496,0,0.0064,0.0088,-0.0008,-0.0064
-0.00002494,0.0004,0.0004,0.0068,0.0016,-0.0052
-0.00002492,0.0044,0.0028,0.0048,0.0068,-0.0028
-0.0000249,0.01,-0.0036,0.0004,0.0024,0.0008
-0.00002488,0.0064,0.0004,0.0016,0.0008,0.006
-0.00002486,0.0072,-0.0024,-0.0024,-0.006,0.0084
-0.00002484,-0.0004,0.0056,-0.006,-0.004,0.0104
-0.00002482,-0.0028,0.0032,-0.0064,-0.0032,0.0068
-0.0000248,-0.0092,0.0044,-0.008,-0.0048,0.0044
-0.00002478,-0.0076,-0.0052,0,-0.0024,-0.0004
-0.00002476,-0.0096,-0.0048,-0.0008,0.0004,-0.0024
-0.00002474,-0.0024,-0.0104,0.004,0.0012,-0.008
-0.00002472,-0.0052,-0.0068,0.004,0.0016,-0.0096
-0.0000247,0.0024,-0.0048,0.0076,0.0016,-0.0076
-0.00002468,-0.0004,0.0032,0.006,-0.0012,-0.0028
-0.00002466,0.0024,0.0088,0.0012,-0.0056,0.0032
-0.00002464,0.0016,0.0116,-0.0048,-0.0008,0.0068
-0.00002462,-0.0028,0.0116,-0.0076,-0.0024,0.0068
-0.0000246,0.0008,0.0064,-0.004,0.0004,0.0076
-0.00002458,-0.0024,0.0044,-0.0028,0.0044,0.0056
-0.00002456,0.0064,0.0008,0.0012,0.0072,0.0012
-0.00002454,-0.0024,-0.0012,0.0028,0.0112,-0.0024
-0.00002452,0.0032,-0.0064,0.0036,0.0068,0
-0.0000245,-0.0064,-0.0056,0.0056,0.0032,0.0004
-0.00002448,-0.0016,-0.0064,0.0016,-0.0032,0.0068
-0.00002446,-0.0108,-0.0024,0.0008,-0.0044,0.0036
-0.00002444,-0.0036,-0.0012,-0.0036,-0.0076,0.0028
-0.00002442,-0.01,0.0064,0.0004,-0.0068,-0.002
-0.0000244,-0.0044,0.0072,0,-0.004,-0.004
-0.00002438,0.0036,0.0164,0.0052,0.0036,-0.0064
-0.00002436,0.0088,0.0072,0.004,0.01,-0.0092
-0.00002434,0.0096,0.0072,0.006,0.0104,-0.0064
-0.00002432,0.0084,0,0.0032,0.006,-0.006
-0.0000243,0.0064,0.004,0.002,0.0068,0.0024
-0.00002428,0.0024,0.0052,-0.0028,0.004,0.0044
-0.00002426,-0.0032,0.0072,-0.0064,0,0.0068
-0.00002424,-0.0096,0.0052,-0.0052,-0.0064,0.0052
-0.00002422,-0.0096,0.0032,-0.0048,-0.0088,0.0036
-0.0000242,-0.0132,0,0.002,-0.0024,-0.002
-0.00002418,-0.004,-0.0024,0.002,-0.0024,-0.0056
-0.00002416,-0.0032,-0.0068,0.002,-0.0008,-0.0084
-0.00002414,0.004,-0.004,0.002,0.0004,-0.0088
-0.00002412,0.0016,-0.0016,-0.0012,0,-0.0084
-0.0000241,0.002,0.0068,-0.0016,0.0032,-0.0068
-0.00002408,-0.0004,0.0092,-0.0052,-0.002,-0.0032
-0.00002406,-0.002,0.0116,-0.0052,0.0044,-0.004
-0.00002404,-0.0036,0.0088,-0.0048,-0.0044,0.0008
-0.00002402,-0.0012,0.0076,0,0.0008,-0.0008
-0.000024,-0.002,0.0048,-0.0012,-0.0012,0.0012
-0.00002398,0.0016,-0.0004,-0.0028,0.0028,0.0008
-0.00002396,0,-0.006,-0.0016,0.004,0.0012
-0.00002394,0.0064,-0.0076,-0.0012,-0.0008,0.0056
-0.00002392,0.0044,-0.0068,-0.0012,0.0032,0.0056
-0.0000239,0.0012,-0.0024,-0.0016,-0.0024,0.0032
-0.00002388,-0.004,-0.0016,-0.0044,-0.0024,0.0016
-0.00002386,-0.0056,0,-0.0004,-0.0012,-0.0044
-0.00002384,-0.0084,0.0008,-0.0004,-0.0004,-0.0072
-0.00002382,-0.004,0,0.0008,-0.0004,-0.0056
-0.0000238,-0.0016,0.0024,0.0024,0.0032,-0.0048
-0.00002378,0.0028,-0.0012,0.0056,0.0028,-0.0052
-0.00002376,0.0048,0.0024,0.0056,0.0064,-0.0028
-0.00002374,0.0112,0.004,0.0016,0.0024,0.0036
-0.00002372,0.0148,0.0084,-0.004,0.0036,0.0092
-0.0000237,0.0088,0.0072,-0.0076,0.0008,0.01
-0.00002368,0.0052,0.0032,-0.0092,0.0028,0.008
-0.00002366,-0.0004,-0.0016,-0.0024,0.002,0.0048
-0.00002364,-0.0024,-0.0056,0.0024,-0.0004,0.0056
-0.00002362,-0.004,-0.0056,0.006,-0.002,-0.004
-0.0000236,-0.0044,-0.0084,0.0044,-0.0036,-0.0068
-0.00002358,-0.0024,-0.006,0.0072,-0.0028,-0.01
-0.00002356,-0.0008,-0.0064,0.0064,-0.004,-0.0064
-0.00002354,0.0012,0.0016,0.0048,-0.0068,0
-0.00002352,0.0032,0.0024,-0.0004,-0.0072,0.0008
-0.0000235,0.0036,0.0076,-0.0068,-0.0048,0.0028
